CMS_cert_no,Fac_name,City,State,Zip,Region,year,N,cost_charge,wage_indx,Rural,dis_share,census,ownership,teaching,freestanding,avg_wt,I_001_01,I_001_01.note,I_001_01.denom,I_001_01.start,I_001_01.end,I_001_02,I_001_02.note,I_001_02.denom,I_001_02.numer,I_001_02.obs,I_001_02.start,I_001_02.end,I_002_01.obs,I_002_01.note,I_002_01.denom,I_002_01.numer,I_002_01.start,I_002_01.end,I_006_01,I_006_01.note,I_006_01.cilo,I_006_01.ciup,I_006_01.grade,I_006_01.days,I_006_01.N,I_006_01.numer,I_006_01.start,I_006_01.end,I_007_01,I_007_01.note,I_007_01.grade,I_007_01.cilo,I_007_01.ciup,I_007_01.N,I_007_01.start,I_007_01.end,I_008_01,I_008_01.note,I_008_01.denom,I_008_01.numer,I_008_01.start,I_008_01.end,I_013_01,I_013_01.note,I_013_01.denom,I_013_01.numer,I_013_01.start,I_013_01.end,I_014_01,I_014_01.note,I_014_01.cilo,I_014_01.ciup,I_014_01.grade,I_014_01.days,I_014_01.N,I_014_01.numer,I_014_01.start,I_014_01.end,I_015_01,I_015_01.note,I_015_01.cilo,I_015_01.ciup,I_015_01.grade,I_015_01.days,I_015_01.N,I_015_01.numer,I_015_01.start,I_015_01.end,I_016_01,I_016_01.note,I_016_01.denom,I_016_01.numer,I_016_01.start,I_016_01.end,I_019_01,I_019_01.note,I_019_01.cilo,I_019_01.ciup,I_019_01.obs,I_019_01.grade,I_019_01.numb,I_019_01.N,I_019_01.start,I_019_01.end,I_020_01,I_020_01.note,I_020_01.numb,I_020_01.start,I_020_01.end
140180,ST MARY AND ST ELIZABETH MED CTR,CHICAGO,IL,60622,5,2016,134,0.31,1.04,0,0.45,4,N,0.00,0,1.21,0.60,,145,1-Jan-15,31-Dec-15,,,,,,,,,,,,,,,,,,,,,,1-Jan-15,31-Dec-15,13.44,,Worse than the National Rate,13.20,13.67,197,1-Jan-13,31-Dec-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140180,ST MARY AND ST ELIZABETH MED CTR,CHICAGO,IL,60622,5,2017,88,0.28,1.04,0,0.52,4,N,0.00,0,1.29,0.70,,124,1-Jan-16,31-Dec-16,,,,,,,,96.20,,79,,1-Oct-15,31-Mar-16,,7,,,,134,0,0,1-Jan-16,31-Dec-16,13.90,,Worse than the National Rate,13.66,14.12,162,1-Jan-14,31-Dec-15,,,,,,,,,,,,,,7,,,,2759,0,0,1-Jan-16,31-Dec-16,,7,,,,2759,1,0,1-Jan-16,31-Dec-16,51.00,,156,,1-Oct-15,31-Mar-16,,,,,,,,,,,,,,,
140180,ST MARY AND ST ELIZABETH MED CTR,CHICAGO,IL,60622,5,2018,87,0.30,1.05,0,0.59,4,N,0.00,0,1.18,,,,,,0.00,,139,0,0.00,1-Oct-16,30-Sep-17,96.20,,79,76,1-Oct-15,31-Mar-16,,7,,,,89,0,0,1-Oct-16,30-Sep-17,,,,,,,,,100.00,,144,144,1-Jan-17,31-Dec-17,0.00,,144,0,1-Jan-17,31-Dec-17,,7,,,,2935,0,0,1-Oct-16,30-Sep-17,0.00,,,2.42,No Different than the National Benchmark,2935,1,0,1-Oct-16,30-Sep-17,51.00,,156,79,1-Oct-15,31-Mar-16,67.63,,67.18,68.04,73.57,Better than the National Rate,103,140,1-Oct-15,30-Sep-17,0.84,,135,1-Oct-15,30-Sep-17
140182,ADVOCATE ILLINOIS MASONIC MEDICAL CENTER,CHICAGO,IL,60657,5,2016,178,0.35,1.04,0,0.16,4,N,0.00,0,1.07,0.60,,153,1-Jan-15,31-Dec-15,,,,,,,,,,,,,,,,,,,,,,1-Jan-15,31-Dec-15,12.41,,Better than the National Rate,12.15,12.66,257,1-Jan-13,31-Dec-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140182,ADVOCATE ILLINOIS MASONIC MEDICAL CENTER,CHICAGO,IL,60657,5,2017,150,0.35,1.04,0,0.26,4,N,0.00,0,1.19,0.60,,147,1-Jan-16,31-Dec-16,,,,,,,,96.30,,80,,1-Oct-15,31-Mar-16,,7,,,,270,0,2,1-Jan-16,31-Dec-16,13.24,,No Different than the National Rate,13.02,13.46,241,1-Jan-14,31-Dec-15,,,,,,,,,,,,,,7,,,,4977,0,0,1-Jan-16,31-Dec-16,0.79,,0.04,3.87,No Different than the National Benchmark,4977,1,1,1-Jan-16,31-Dec-16,96.00,,50,,1-Oct-15,31-Mar-16,,,,,,,,,,,,,,,
140182,ADVOCATE ILLINOIS MASONIC MEDICAL CENTER,CHICAGO,IL,60657,5,2018,139,0.34,1.05,0,0.23,4,N,0.00,0,1.08,,,,,,0.50,,172,1,0.60,1-Oct-16,30-Sep-17,96.30,,80,77,1-Oct-15,31-Mar-16,,7,,,,193,0,0,1-Oct-16,30-Sep-17,,,,,,,,,100.00,,190,190,1-Jan-17,31-Dec-17,0.00,,190,0,1-Jan-17,31-Dec-17,,7,,,,4974,0,0,1-Oct-16,30-Sep-17,0.92,,0.16,3.05,No Different than the National Benchmark,4974,2,2,1-Oct-16,30-Sep-17,96.00,,50,48,1-Oct-15,31-Mar-16,61.98,,61.60,62.35,61.14,Worse than the National Rate,140,229,1-Oct-15,30-Sep-17,0.95,,211,1-Oct-15,30-Sep-17
140186,RIVERSIDE MEDICAL CENTER,KANKAKEE,IL,60901,5,2016,489,0.52,0.96,0,0.06,4,N,0.00,0,1.20,0.50,,609,1-Jan-15,31-Dec-15,,,,,,,,,,,,,,,4,,,,,,,1-Jan-15,31-Dec-15,13.31,,Worse than the National Rate,13.08,13.53,729,1-Jan-13,31-Dec-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140186,RIVERSIDE MEDICAL CENTER,KANKAKEE,IL,60901,5,2017,541,0.45,0.88,0,0.10,4,N,0.00,0,1.22,0.40,,648,1-Jan-16,31-Dec-16,,,,,,,,82.80,,338,,1-Oct-15,31-Mar-16,0.00,,,2.97,No Different than the National Benchmark,486,1,0,1-Jan-16,31-Dec-16,13.90,,Worse than the National Rate,13.67,14.12,763,1-Jan-14,31-Dec-15,,,,,,,,,,,,,,7,,,,8121,0,0,1-Jan-16,31-Dec-16,3.41,,1.66,6.25,Worse than the National Benchmark,8121,3,9,1-Jan-16,31-Dec-16,81.00,,480,,1-Oct-15,31-Mar-16,,,,,,,,,,,,,,,
140186,RIVERSIDE MEDICAL CENTER,KANKAKEE,IL,60901,5,2018,587,0.40,0.93,0,0.08,4,N,0.00,0,1.22,,,,,,0.30,,649,3,0.50,1-Oct-16,30-Sep-17,82.80,,338,280,1-Oct-15,31-Mar-16,0.90,,0.05,4.45,No Different than the National Benchmark,535,1,1,1-Oct-16,30-Sep-17,,,,,,,,,100.00,,658,658,1-Jan-17,31-Dec-17,0.00,,658,0,1-Jan-17,31-Dec-17,,7,,,,12472,0,1,1-Oct-16,30-Sep-17,0.76,,0.28,1.69,No Different than the National Benchmark,12472,7,5,1-Oct-16,30-Sep-17,81.00,,480,391,1-Oct-15,31-Mar-16,68.48,,68.00,68.94,67.28,Better than the National Rate,586,871,1-Oct-15,30-Sep-17,0.98,,934,1-Oct-15,30-Sep-17
140187,ST. ELIZABETH HOSPITAL REHAB,BELLEVILLE,IL,62220,5,2016,246,0.36,0.94,0,0.13,4,N,0.00,0,1.07,0.00,,295,1-Jan-15,31-Dec-15,,,,,,,,,,,,,,,,,,,,,,1-Jan-15,31-Dec-15,13.25,,No Different than the National Rate,13.04,13.46,406,1-Jan-13,31-Dec-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140187,ST. ELIZABETH HOSPITAL REHAB,BELLEVILLE,IL,62220,5,2017,229,0.36,0.93,0,0.16,4,N,0.00,0,0.99,2.00,,293,1-Jan-16,31-Dec-16,,,,,,,,98.60,,145,,1-Oct-15,31-Mar-16,,7,,,,219,1,0,1-Jan-16,31-Dec-16,13.82,,Worse than the National Rate,13.58,14.03,371,1-Jan-14,31-Dec-15,,,,,,,,,,,,,,7,,,,4389,0,0,1-Jan-16,31-Dec-16,2.76,,0.88,6.67,No Different than the National Benchmark,4389,1,4,1-Jan-16,31-Dec-16,100.00,,34,,1-Oct-15,31-Mar-16,,,,,,,,,,,,,,,
140187,ST. ELIZABETH HOSPITAL REHAB,O'FALLON,IL,62269,5,2018,218,0.39,0.92,0,0.17,4,N,0.00,0,1.02,,,,,,0.70,,314,3,1.00,1-Oct-16,30-Sep-17,98.60,,145,143,1-Oct-15,31-Mar-16,,7,,,,306,1,0,1-Oct-16,30-Sep-17,,,,,,,,,100.00,,300,300,1-Jan-17,31-Dec-17,0.00,,300,0,1-Jan-17,31-Dec-17,,7,,,,4745,0,0,1-Oct-16,30-Sep-17,0.00,,,1.22,No Different than the National Benchmark,4745,2,0,1-Oct-16,30-Sep-17,100.00,,34,34,1-Oct-15,31-Mar-16,58.48,,58.12,58.86,60.77,Worse than the National Rate,220,362,1-Oct-15,30-Sep-17,0.88,,375,1-Oct-15,30-Sep-17
140191,INGALLS MEMORIAL HOSPITAL,HARVEY,IL,60426,5,2016,488,0.55,1.04,0,0.08,4,N,0.00,0,1.15,1.20,,449,1-Jan-15,31-Dec-15,,,,,,,,,,,,,,,,,,,,,,1-Jan-15,31-Dec-15,13.85,,Worse than the National Rate,13.61,14.08,836,1-Jan-13,31-Dec-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140191,INGALLS MEMORIAL HOSPITAL,HARVEY,IL,60426,5,2017,422,0.55,1.04,0,0.10,4,N,0.00,0,1.09,0.00,,413,1-Jan-16,31-Dec-16,,,,,,,,90.20,,235,,1-Oct-15,31-Mar-16,,7,,,,369,1,1,1-Jan-16,31-Dec-16,14.38,,Worse than the National Rate,14.14,14.60,686,1-Jan-14,31-Dec-15,,,,,,,,,,,,,,7,,,,5830,0,0,1-Jan-16,31-Dec-16,0.00,,,1.29,No Different than the National Benchmark,5830,2,0,1-Jan-16,31-Dec-16,63.00,,52,,1-Oct-15,31-Mar-16,,,,,,,,,,,,,,,
140191,INGALLS MEMORIAL HOSPITAL,HARVEY,IL,60426,5,2018,412,0.55,1.05,0,0.07,4,N,0.00,0,1.15,,,,,,0.50,,422,3,0.70,1-Oct-16,30-Sep-17,90.20,,235,212,1-Oct-15,31-Mar-16,,7,,,,204,0,0,1-Oct-16,30-Sep-17,,,,,,,,,100.00,,427,427,1-Jan-17,31-Dec-17,0.00,,427,0,1-Jan-17,31-Dec-17,,7,,,,7132,0,0,1-Oct-16,30-Sep-17,1.56,,0.68,3.09,No Different than the National Benchmark,7132,4,7,1-Oct-16,30-Sep-17,63.00,,52,33,1-Oct-15,31-Mar-16,54.94,,54.55,55.33,52.73,Worse than the National Rate,338,641,1-Oct-15,30-Sep-17,1.05,,628,1-Oct-15,30-Sep-17
140208,ADVOCATE CHRIST MEDICAL CENTER,OAK LAWN,IL,60453,5,2016,477,0.44,1.04,0,0.11,4,N,0.00,0,1.29,0.60,,613,1-Jan-15,31-Dec-15,,,,,,,,,,,,,,,4,,,,,,,1-Jan-15,31-Dec-15,12.18,,Better than the National Rate,11.94,12.42,741,1-Jan-13,31-Dec-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140208,ADVOCATE CHRIST MEDICAL CENTER,OAK LAWN,IL,60453,5,2017,469,0.45,1.04,0,0.08,4,N,0.00,0,1.25,0.50,,659,1-Jan-16,31-Dec-16,,,,,,,,98.60,,346,,1-Oct-15,31-Mar-16,0.75,,0.04,3.68,No Different than the National Benchmark,492,1,1,1-Jan-16,31-Dec-16,13.36,,No Different than the National Rate,13.15,13.57,702,1-Jan-14,31-Dec-15,,,,,,,,,,,,,,7,,,,12070,0,3,1-Jan-16,31-Dec-16,1.56,,0.63,3.24,No Different than the National Benchmark,12070,4,6,1-Jan-16,31-Dec-16,98.00,,138,,1-Oct-15,31-Mar-16,,,,,,,,,,,,,,,
140208,ADVOCATE CHRIST MEDICAL CENTER,OAK LAWN,IL,60453,5,2018,464,0.44,1.05,0,0.06,4,N,0.00,0,1.26,,,,,,0.10,,656,1,0.20,1-Oct-16,30-Sep-17,98.60,,346,341,1-Oct-15,31-Mar-16,,7,,,,288,1,0,1-Oct-16,30-Sep-17,,,,,,,,,100.00,,653,653,1-Jan-17,31-Dec-17,0.00,,653,0,1-Jan-17,31-Dec-17,,7,,,,11942,0,2,1-Oct-16,30-Sep-17,1.30,,0.60,2.47,No Different than the National Benchmark,11942,6,8,1-Oct-16,30-Sep-17,98.00,,138,135,1-Oct-15,31-Mar-16,59.84,,59.46,60.25,55.26,Worse than the National Rate,410,742,1-Oct-15,30-Sep-17,1.03,,682,1-Oct-15,30-Sep-17
140209,UNITYPOINT HEALTH METHODIST/PROCTOR,PEORIA,IL,61636,5,2016,489,0.35,0.86,0,0.10,4,N,0.00,0,1.17,0.00,,467,1-Jan-15,31-Dec-15,,,,,,,,,,,,,,,,,,,,,,1-Jan-15,31-Dec-15,12.10,,Better than the National Rate,11.91,12.33,772,1-Jan-13,31-Dec-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140209,UNITYPOINT HEALTH METHODIST/PROCTOR,PEORIA,IL,61636,5,2017,432,0.32,0.87,0,0.07,4,N,0.00,0,1.18,0.00,,378,1-Jan-16,31-Dec-16,,,,,,,,95.30,,256,,1-Oct-15,31-Mar-16,,7,,,,188,0,1,1-Jan-16,31-Dec-16,12.05,,Better than the National Rate,11.81,12.31,707,1-Jan-14,31-Dec-15,,,,,,,,,,,,,,7,,,,6329,0,0,1-Jan-16,31-Dec-16,1.13,,0.19,3.73,No Different than the National Benchmark,6329,2,2,1-Jan-16,31-Dec-16,95.00,,164,,1-Oct-15,31-Mar-16,,,,,,,,,,,,,,,
140209,UNITYPOINT HEALTH METHODIST/PROCTOR,PEORIA,IL,61636,5,2018,379,0.33,0.89,0,0.09,4,N,0.00,0,1.27,,,,,,0.00,,325,0,0.00,1-Oct-16,30-Sep-17,95.30,,256,244,1-Oct-15,31-Mar-16,,7,,,,195,0,1,1-Oct-16,30-Sep-17,,,,,,,,,100.00,,327,327,1-Jan-17,31-Dec-17,0.00,,327,0,1-Jan-17,31-Dec-17,,7,,,,5637,0,0,1-Oct-16,30-Sep-17,0.82,,0.14,2.70,No Different than the National Benchmark,5637,2,2,1-Oct-16,30-Sep-17,95.00,,164,156,1-Oct-15,31-Mar-16,66.24,,65.84,66.65,69.22,Better than the National Rate,353,510,1-Oct-15,30-Sep-17,0.99,,574,1-Oct-15,30-Sep-17
140213,SILVER CROSS HOSPITAL,NEW LENOX,IL,60451,5,2016,402,0.63,1.04,0,0.02,4,N,0.00,0,1.12,2.40,,437,1-Jan-15,31-Dec-15,,,,,,,,,,,,,,,4,,,,,,,1-Jan-15,31-Dec-15,15.03,,Worse than the National Rate,14.73,15.34,634,1-Jan-13,31-Dec-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140213,SILVER CROSS HOSPITAL,NEW LENOX,IL,60451,5,2017,410,0.64,1.04,0,0.05,4,N,0.00,0,1.19,0.20,,468,1-Jan-16,31-Dec-16,,,,,,,,98.30,,235,,1-Oct-15,31-Mar-16,,7,,,,438,1,1,1-Jan-16,31-Dec-16,15.09,,Worse than the National Rate,14.80,15.37,659,1-Jan-14,31-Dec-15,,,,,,,,,,,,,,7,,,,8093,0,0,1-Jan-16,31-Dec-16,1.46,,0.46,3.51,No Different than the National Benchmark,8093,3,4,1-Jan-16,31-Dec-16,62.00,,1016,,1-Oct-15,31-Mar-16,,,,,,,,,,,,,,,
140213,SILVER CROSS HOSPITAL,NEW LENOX,IL,60451,5,2018,407,0.62,1.05,0,0.04,4,N,0.00,0,1.25,,,,,,0.10,,497,1,0.20,1-Oct-16,30-Sep-17,98.30,,235,231,1-Oct-15,31-Mar-16,,7,,,,494,1,1,1-Oct-16,30-Sep-17,,,,,,,,,100.00,,499,499,1-Jan-17,31-Dec-17,0.20,,499,1,1-Jan-17,31-Dec-17,,7,,,,7864,0,0,1-Oct-16,30-Sep-17,0.24,,0.01,1.18,No Different than the National Benchmark,7864,4,1,1-Oct-16,30-Sep-17,62.00,,1016,627,1-Oct-15,31-Mar-16,65.26,,64.86,65.65,65.14,Better than the National Rate,456,700,1-Oct-15,30-Sep-17,0.99,,634,1-Oct-15,30-Sep-17
140217,PROVENA ST JOSEPH HOSPITAL,ELGIN,IL,60123,5,2016,1041,0.31,1.04,0,0.02,4,N,0.00,0,1.08,0.60,,1147,1-Jan-15,31-Dec-15,,,,,,,,,,,,,,,4,,,,,,,1-Jan-15,31-Dec-15,12.61,,Better than the National Rate,12.41,12.81,1643,1-Jan-13,31-Dec-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140217,PRESENCE ST JOSEPH - ELGIN,ELGIN,IL,60123,5,2017,1043,0.31,1.03,0,0.03,4,N,0.00,0,1.06,0.20,,1138,1-Jan-16,31-Dec-16,,,,,,,,92.00,,599,,1-Oct-15,31-Mar-16,0.66,,0.03,3.23,No Different than the National Benchmark,1059,2,1,1-Jan-16,31-Dec-16,12.57,,Better than the National Rate,12.37,12.79,1651,1-Jan-14,31-Dec-15,,,,,,,,,,,,,,7,,,,13451,0,0,1-Jan-16,31-Dec-16,2.22,,1.13,3.95,Worse than the National Benchmark,13451,5,10,1-Jan-16,31-Dec-16,94.00,,77,,1-Oct-15,31-Mar-16,,,,,,,,,,,,,,,
140217,PRESENCE ST JOSEPH - ELGIN,ELGIN,IL,60123,5,2018,1064,0.29,1.03,0,0.01,4,N,0.00,0,1.10,,,,,,0.10,,1112,2,0.20,1-Oct-16,30-Sep-17,92.00,,599,551,1-Oct-15,31-Mar-16,0.00,,,1.75,No Different than the National Benchmark,1188,2,0,1-Oct-16,30-Sep-17,,,,,,,,,100.00,,1073,1073,1-Jan-17,31-Dec-17,0.00,,1073,0,1-Jan-17,31-Dec-17,,7,,,,13072,0,0,1-Oct-16,30-Sep-17,0.86,,0.35,1.79,No Different than the National Benchmark,13072,7,6,1-Oct-16,30-Sep-17,94.00,,77,72,1-Oct-15,31-Mar-16,62.15,,61.77,62.52,63.84,Worse than the National Rate,1054,1651,1-Oct-15,30-Sep-17,0.99,,1778,1-Oct-15,30-Sep-17
140223,ADVOCATE LUTHERAN GENERAL HOSPITAL,PARK RIDGE,IL,60068,5,2016,538,0.42,1.04,0,0.12,4,N,0.00,0,1.04,0.30,,700,1-Jan-15,31-Dec-15,,,,,,,,,,,,,,,4,,,,,,,1-Jan-15,31-Dec-15,13.52,,Worse than the National Rate,13.31,13.75,856,1-Jan-13,31-Dec-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140223,ADVOCATE LUTHERAN GENERAL HOSPITAL,PARK RIDGE,IL,60068,5,2017,628,0.40,1.04,0,0.10,4,N,0.00,0,1.10,0.30,,680,1-Jan-16,31-Dec-16,,,,,,,,82.80,,384,,1-Oct-15,31-Mar-16,0.95,,0.16,3.13,No Different than the National Benchmark,776,2,2,1-Jan-16,31-Dec-16,13.12,,Better than the National Rate,12.90,13.33,927,1-Jan-14,31-Dec-15,,,,,,,,,,,,,,7,,,,12387,0,0,1-Jan-16,31-Dec-16,1.02,,0.32,2.45,No Different than the National Benchmark,12387,4,4,1-Jan-16,31-Dec-16,100.00,,72,,1-Oct-15,31-Mar-16,,,,,,,,,,,,,,,
140223,ADVOCATE LUTHERAN GENERAL HOSPITAL,PARK RIDGE,IL,60068,5,2018,612,0.36,1.05,0,0.10,4,N,0.00,0,1.10,,,,,,0.10,,646,1,0.20,1-Oct-16,30-Sep-17,82.80,,384,318,1-Oct-15,31-Mar-16,0.60,,0.03,2.95,No Different than the National Benchmark,614,2,1,1-Oct-16,30-Sep-17,,,,,,,,,100.00,,631,631,1-Jan-17,31-Dec-17,0.20,,631,1,1-Jan-17,31-Dec-17,,7,,,,12118,0,0,1-Oct-16,30-Sep-17,0.64,,0.20,1.54,No Different than the National Benchmark,12118,6,4,1-Oct-16,30-Sep-17,100.00,,72,72,1-Oct-15,31-Mar-16,65.43,,64.98,65.84,65.49,Better than the National Rate,649,991,1-Oct-15,30-Sep-17,0.94,,890,1-Oct-15,30-Sep-17
140224,ST JOSEPH HOSPITAL,CHICAGO,IL,60657,5,2016,155,0.39,1.04,0,0.17,4,N,0.00,0,1.12,0.80,,128,1-Jan-15,31-Dec-15,,,,,,,,,,,,,,,,,,,,,,1-Jan-15,31-Dec-15,14.42,,Worse than the National Rate,14.09,14.73,234,1-Jan-13,31-Dec-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140224,ST JOSEPH HOSPITAL,CHICAGO,IL,60657,5,2017,108,0.35,1.04,0,0.14,4,N,0.00,0,1.16,0.60,,129,1-Jan-16,31-Dec-16,,,,,,,,96.70,,61,,1-Oct-15,31-Mar-16,,7,,,,103,0,0,1-Jan-16,31-Dec-16,13.82,,Worse than the National Rate,13.59,14.03,169,1-Jan-14,31-Dec-15,,,,,,,,,,,,,,7,,,,2130,0,0,1-Jan-16,31-Dec-16,,7,,,,2130,0,0,1-Jan-16,31-Dec-16,100.00,,30,,1-Oct-15,31-Mar-16,,,,,,,,,,,,,,,
140224,ST JOSEPH HOSPITAL,CHICAGO,IL,60657,5,2018,90,0.47,1.05,0,0.05,4,N,0.00,0,1.19,,,,,,0.00,,102,0,0.00,1-Oct-16,30-Sep-17,96.70,,61,59,1-Oct-15,31-Mar-16,,7,,,,118,0,2,1-Oct-16,30-Sep-17,,,,,,,,,100.00,,97,97,1-Jan-17,31-Dec-17,0.00,,97,0,1-Jan-17,31-Dec-17,,7,,,,1840,0,0,1-Oct-16,30-Sep-17,,7,,,,1840,1,0,1-Oct-16,30-Sep-17,100.00,,30,30,1-Oct-15,31-Mar-16,69.29,,68.84,69.75,72.26,Better than the National Rate,99,137,1-Oct-15,30-Sep-17,0.98,,137,1-Oct-15,30-Sep-17
140239,ROCKFORD MEMORIAL HOSPITAL,ROCKFORD,IL,61103,5,2016,,,,,,,,,,,,5,,1-Jan-15,31-Dec-15,,,,,,,,,,,,,,,,,,,,,,1-Jan-15,31-Dec-15,,2,,,,,1-Jan-13,31-Dec-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140239,ROCKFORD MEMORIAL HOSPITAL,ROCKFORD,IL,61103,5,2017,,,,,,,,,,,,5,,1-Jan-16,31-Dec-16,,,,,,,,,5,,,1-Oct-15,31-Mar-16,,5,,,,,,,1-Jan-16,31-Dec-16,,2,,,,,1-Jan-14,31-Dec-15,,,,,,,,,,,,,,5,,,,,,,1-Jan-16,31-Dec-16,,5,,,,,,,1-Jan-16,31-Dec-16,,5,,,1-Oct-15,31-Mar-16,,,,,,,,,,,,,,,
140239,ROCKFORD MEMORIAL HOSPITAL,ROCKFORD,IL,61103,5,2018,,,,,,,,,,,,,,,,,5,,,,1-Oct-16,30-Sep-17,,5,,,1-Oct-15,31-Mar-16,,5,,,,,,,1-Oct-16,30-Sep-17,,,,,,,,,,5,,,1-Jan-17,31-Dec-17,,5,,,1-Jan-17,31-Dec-17,,5,,,,,,,1-Oct-16,30-Sep-17,,5,,,,,,,1-Oct-16,30-Sep-17,,5,,,1-Oct-15,31-Mar-16,,,,,,,,,1-Oct-15,30-Sep-17,,,,1-Oct-15,30-Sep-17
140240,WESTLAKE HOSPITAL,MELROSE PARK,IL,60160,5,2016,130,0.34,1.04,0,0.35,4,N,0.00,0,1.12,2.00,,200,1-Jan-15,31-Dec-15,,,,,,,,,,,,,,,,,,,,,,1-Jan-15,31-Dec-15,13.33,,Worse than the National Rate,13.09,13.55,208,1-Jan-13,31-Dec-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140240,WESTLAKE HOSPITAL,MELROSE PARK,IL,60160,5,2017,144,0.34,1.04,0,0.26,4,N,0.00,0,1.14,0.40,,182,1-Jan-16,31-Dec-16,,,,,,,,90.00,,110,,1-Oct-15,31-Mar-16,,7,,,,191,0,0,1-Jan-16,31-Dec-16,13.60,,No Different than the National Rate,13.38,13.80,213,1-Jan-14,31-Dec-15,,,,,,,,,,,,,,7,,,,3801,0,0,1-Jan-16,31-Dec-16,,7,,,,3801,1,1,1-Jan-16,31-Dec-16,92.00,,220,,1-Oct-15,31-Mar-16,,,,,,,,,,,,,,,
140240,WESTLAKE HOSPITAL,MELROSE PARK,IL,60160,5,2018,140,0.32,1.05,0,0.27,4,N,0.00,0,1.16,,,,,,1.50,,150,3,2.00,1-Oct-16,30-Sep-17,90.00,,110,99,1-Oct-15,31-Mar-16,,7,,,,302,1,1,1-Oct-16,30-Sep-17,,,,,,,,,100.00,,146,146,1-Jan-17,31-Dec-17,0.00,,146,0,1-Jan-17,31-Dec-17,,7,,,,3419,0,0,1-Oct-16,30-Sep-17,0.68,,0.03,3.36,No Different than the National Benchmark,3419,1,1,1-Oct-16,30-Sep-17,92.00,,220,202,1-Oct-15,31-Mar-16,67.66,,67.24,68.09,66.29,Better than the National Rate,118,178,1-Oct-15,30-Sep-17,0.98,,200,1-Oct-15,30-Sep-17
140252,NORTHWEST COMMUNITY HEALTHCARE,ARLINGTON HEIGHTS,IL,60005,5,2016,,,,,,,,,,,,,,1-Jan-15,31-Dec-15,,,,,,,,,,,,,,,,,,,,,,1-Jan-15,31-Dec-15,,2,,,,,1-Jan-13,31-Dec-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140252,NORTHWEST COMMUNITY HEALTHCARE,ARLINGTON HEIGHTS,IL,60005,5,2017,,,,,,,,,,,0.30,,278,1-Jan-16,31-Dec-16,,,,,,,,54.60,,108,,1-Oct-15,31-Mar-16,1.75,,0.29,5.77,No Different than the National Benchmark,688,1,2,1-Jan-16,31-Dec-16,,1,,,,22,1-Jan-14,31-Dec-15,,,,,,,,,,,,,,7,,,,4934,0,0,1-Jan-16,31-Dec-16,0.00,,,1.83,No Different than the National Benchmark,4934,2,0,1-Jan-16,31-Dec-16,85.00,,39,,1-Oct-15,31-Mar-16,,,,,,,,,,,,,,,
140252,NORTHWEST COMMUNITY HEALTHCARE,ARLINGTON HEIGHTS,IL,60005,5,2018,195,0.42,1.05,0,0.00,4,N,0.00,0,1.26,,,,,,0.50,,312,2,0.60,1-Oct-16,30-Sep-17,54.60,,108,59,1-Oct-15,31-Mar-16,,7,,,,640,1,1,1-Oct-16,30-Sep-17,,,,,,,,,100.00,,323,323,1-Jan-17,31-Dec-17,0.00,,323,0,1-Jan-17,31-Dec-17,,7,,,,5724,0,0,1-Oct-16,30-Sep-17,0.99,,0.25,2.68,No Different than the National Benchmark,5724,3,3,1-Oct-16,30-Sep-17,85.00,,39,33,1-Oct-15,31-Mar-16,64.49,,64.07,64.92,66.22,No Different than the National Rate,245,370,1-Oct-15,30-Sep-17,0.97,,383,1-Oct-15,30-Sep-17
